ZipCode,SalePrice,Acreage,LandValue,BuildingValue,TotalValue,FinishedArea,YearBuilt,Bedrooms,FullBath,HalfBath,Parks Per Zip,Acres of Parks Per Zip,ADA Park in Zip,Sports Fields in Zip,Walk Path in Zip
37013,125000,0.31,22000,112200,144300,2474,1975,4,3,0,5,327.44,True,True,True
37013,145000,0.23,22500,125700,148200,2290,1994,3,3,0,5,327.44,True,True,True
37013,158400,0.24,27500,95900,123400,1600,1985,3,3,0,5,327.44,True,True,True
37013,127500,0.32,27500,87300,114800,1760,1983,3,2,0,5,327.44,True,True,True
37013,80000,0.21,27500,68600,96100,1244,1983,3,2,0,5,327.44,True,True,True
37013,111100,0.26,20500,80900,101400,1385,1999,3,2,0,5,327.44,True,True,True
37013,100000,0.23,22000,64000,86000,1052,1989,3,2,0,5,327.44,True,True,True
37013,113000,0.24,25000,87100,112100,1296,1996,3,2,0,5,327.44,True,True,True
37013,189900,0.27,25000,164800,189800,2694,2004,3,2,1,5,327.44,True,True,True
37013,149900,0.25,25000,97400,122400,1758,1988,3,2,0,5,327.44,True,True,True
37013,42000,0.1,13000,33500,46500,848,1985,2,1,0,5,327.44,True,True,True
37013,35000,0.09,13000,31800,46000,840,1983,2,1,0,5,327.44,True,True,True
37013,99000,0.26,24000,62700,86700,1050,1972,3,1,0,5,327.44,True,True,True
37013,107250,0.29,17000,79100,96100,1296,1981,3,1,1,5,327.44,True,True,True
37013,60000,0.37,17000,74800,91800,2200,1975,4,1,1,5,327.44,True,True,True
37013,54500,0.26,24000,90800,114800,1748,1973,3,1,1,5,327.44,True,True,True
37013,122000,0.23,24000,96700,120700,1602,1975,2,1,0,5,327.44,True,True,True
37013,95000,0.23,24000,74400,98400,1148,1987,3,2,0,5,327.44,True,True,True
37013,67000,0.1,14000,56400,70400,1152,1984,3,2,0,5,327.44,True,True,True
37013,145500,0.42,25000,95300,120300,1788,1991,3,3,0,5,327.44,True,True,True
37013,102000,0.2,15500,77700,93200,1320,1975,3,2,0,5,327.44,True,True,True
37013,60000,0.18,15500,96100,111600,2040,1976,3,2,0,5,327.44,True,True,True
37013,78000,0.23,15500,79900,95400,1674,1976,3,1,0,5,327.44,True,True,True
37013,150000,0.31,25000,131900,162300,1864,2000,3,2,0,5,327.44,True,True,True
37013,133000,0.23,27500,108700,136200,1927,1987,3,3,0,5,327.44,True,True,True
37013,166900,0.29,29500,131500,161000,2152,1987,3,2,0,5,327.44,True,True,True
37013,119000,0.3,22000,94600,116600,1804,1975,4,3,0,5,327.44,True,True,True
37013,30000,0.26,22000,172200,194200,2466,2014,3,2,1,5,327.44,True,True,True
37013,152000,0.27,22000,124500,146500,2164,1987,4,3,0,5,327.44,True,True,True
37013,95000,0.11,13000,62700,75700,1410,1987,2,1,1,5,327.44,True,True,True
37013,103000,0.24,27500,80100,107600,1279,1983,3,2,0,5,327.44,True,True,True
37013,118000,0.33,20400,94800,115200,1398,1986,3,2,0,5,327.44,True,True,True
37013,126000,0.21,27500,99200,126700,1836,1986,3,2,0,5,327.44,True,True,True
37013,152900,0.18,27500,114000,141500,1967.25,1995,3,3,0,5,327.44,True,True,True
37013,145000,0.18,27500,105100,132600,1691,1997,3,3,0,5,327.44,True,True,True
37013,146500,0.26,27500,107700,135200,1776,2000,3,2,1,5,327.44,True,True,True
37013,100000,0.25,22000,73300,95300,1126,1994,3,2,0,5,327.44,True,True,True
37013,105000,0.32,24000,104500,128500,2448,1981,4,6,0,5,327.44,True,True,True
37013,71000,0.26,24000,74500,98500,1100,1976,3,1,1,5,327.44,True,True,True
37013,68000,0.26,24000,85700,109700,1300,1973,3,1,1,5,327.44,True,True,True
37013,62001,0.11,16000,65900,81900,1045,1985,2,1,1,5,327.44,True,True,True
37013,59000,0.23,15500,66300,81800,1550,1977,3,1,1,5,327.44,True,True,True
37013,115000,0.34,25000,99100,124100,2055,1982,3,2,0,5,327.44,True,True,True
37013,163000,0.24,25000,104300,129300,2206,1993,3,3,0,5,327.44,True,True,True
37013,120000,0.3,17500,77400,94900,1587,1968,3,1,0,5,327.44,True,True,True
37013,164900,0.27,27500,141200,168700,2585,1991,4,3,0,5,327.44,True,True,True
37013,168900,0.26,27500,121100,148600,2099,1988,3,3,0,5,327.44,True,True,True
37013,137500,0.35,20400,93900,114300,1827,1970,3,1,1,5,327.44,True,True,True
37013,128000,0.27,20400,104500,126000,1595,1968,3,3,0,5,327.44,True,True,True
37013,72500,0.15,11900,46500,58400,978,1984,2,1,1,5,327.44,True,True,True
37013,113000,0.19,27500,71500,99000,1274,1983,3,2,0,5,327.44,True,True,True
