,Park Name,Zip Codes,Acres,Community Center,Nature Center,Playground,ADA Accessible,Restrooms Available,Dog Park,Baseball Fields,Basketball Courts,Soccer Fields,Football & Multi-purpose Fields,Tennis Courts,Disc Golf,Swimming Pool,Golf Course,Walk & Jog Paths,Historic Features,Mapped Location,Lat,Lng
62,Monroe Street Playground,37208,0.68,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,"1043 Monroe Street Nashville, TN ",36.173664,-86.798856
63,Morgan Park,37208,6.63,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,"411 Hume Street Nashville, TN ",36.180857,-86.790881
64,Charlotte Park,37209,25.24,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,"6031 Deal Ave Nashville, TN ",36.155785,-86.87042
65,England Park,37209,11.25,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,"811 Delray Dr Nashville, TN ",36.156731,-86.854765
66,H. G. Hill Park,37209,8.53,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"6710 Charlotte Pike Nashville, TN ",36.135126,-86.887084
67,McCabe Park,37209,208.98,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,"4601 Murphy Rd Nashville, TN ",36.141022,-86.840579
68,McKissack Park,37209,1.5,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"28th Ave N at Torbett St Nashville, TN 37209 ",36.1574785,-86.8186421
69,R. H. Boyd - Preston Taylor Park,37209,11.28,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,"3900 Clifton Ave Nashville, TN ",36.156997,-86.832726
70,Richland Park,37209,9.98,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,"4601 Charlotte Pike Nashville, TN ",36.152095,-86.844649
71,West Park,37209,33.45,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,"6105 Morrow Road Nashville, TN ",36.163446,-86.863055
72,J. C. Napier Park,37210,2.22,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,"67 Fairfield Ave Nashville, TN ",36.150407,-86.756957
73,Louise and Rebecca Dudley Park,37210,6.44,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,"305 Chestnut St Nashville, TN ",36.145231,-86.765929
74,Mildred Shute Minipark,37210,0.4,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"73 Maury Stx Nashville, TN ",36.151629,-86.759323
75,Ezell Road Park,37211,79.94,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,"5135 Harding Pl Nashville, TN ",36.092956,-86.680355
76,Grassmere / Nashville Zoo,37211,196.59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"3777 Nolensville Pike Nashville, TN ",36.091155,-86.73491
77,Paragon Mills Park,37211,35.68,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,"465 Benita Dr Nashville, TN ",36.093339,-86.71544
78,Providence Park,37211,4.19,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"4170 Providence Park Ln Nashville, TN ",36.090942,-86.706213
79,Turner School Park,37211,0.74,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"507 Tanksley Ave Nashville, TN ",36.108462,-86.745368
80,Wentworth-Caldwell Park,37211,13.53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"4927 Edmondson Pikex Nashville, TN ",36.076334,-86.727407
