,School Level,School Name,Zip Code,Rank,Great schools rating,Total Enrollment,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Students with Disabilities
32,Charter,East End Preparatory School,37216,6.0,Average,856,10%,10%,77%,13%,10%,9%,11%
33,Middle School,East Nashville Middle,37206,2.0,Below Average,335,10%,10%,93%,5%,10%,10%,13%
34,High School,East Nashville School,37206,2.0,Below Average,632,10%,10%,94%,5%,10%,5%,9%
35,Charter,Explore Community School,37206,1.0,Below Average,487,10%,10%,56%,5%,10%,38%,16%
36,Elementary School,Fall-Hamilton Elementary,37203,3.0,Below Average,307,10%,10%,63%,21%,10%,14%,21%
37,Elementary School,Gateway Elementary,37115,,Unranked,197,10%,10%,38%,42%,10%,20%,13%
38,Elementary School,Glencliff Elementary,37211,6.0,Average,546,10%,5%,12%,70%,10%,14%,7%
39,High School,Glencliff High School,37211,2.0,Below Average,1057,10%,5%,20%,62%,10%,14%,10%
40,Elementary School,Glendale Elementary,37204,9.0,Above Average,413,10%,5%,7%,10%,10%,79%,9%
41,Elementary School,Glengarry Elementary,37217,5.0,Average,363,10%,10%,9%,78%,10%,12%,8%
42,Elementary School,Glenview Elementary,37217,4.0,Below Average,544,10%,10%,15%,72%,10%,13%,7%
43,Elementary School,Goodlettsville Elementary,37072,5.0,Average,323,10%,5%,42%,24%,10%,27%,15%
44,Middle School,Goodlettsville Middle,37072,2.0,Below Average,597,10%,5%,45%,33%,10%,19%,15%
45,Elementary School,Gower Elementary,37209,6.0,Average,496,10%,9%,26%,16%,10%,48%,18%
46,Elementary School,Granbery Elementary,37027,8.0,Above Average,659,10%,14%,13%,17%,10%,56%,9%
47,Middle School,H.G. Hill Middle School,37205,4.0,Below Average,641,10%,7%,27%,29%,10%,38%,15%
48,Elementary School,Harpeth Valley Elementary,37221,7.0,Above Average,617,10%,8%,13%,6%,10%,71%,10%
49,Special Education,Harris-Hillman Special Education,37212,,Unranked,582,10%,5%,28%,13%,10%,55%,85%
50,Elementary School,Hattie Cotton Elementary,37206,5.0,Average,235,10%,10%,72%,17%,10%,10%,9%
51,Middle School,Haynes Middle,37207,4.0,Below Average,498,10%,10%,82%,6%,10%,11%,21%
