,Park Name,Zip Codes,Acres,Year Established,Community Center,Nature Center,Playground,ADA Accessible,Restrooms Available,Picnic Shelters,Picnic Shelters Quantity,Dog Park,Baseball Fields,Basketball Courts,Volleyball,Soccer Fields,Football & Multi-purpose Fields,Tennis Courts,Disc Golf,Skate Park,Swimming Pool,Spray Park,Golf Course,Walk & Jog Paths,Hiking Trails,Horse Trails,Mountain Bike Trails,Boat Launch,Camping Available by Permit,Fishing by Permit,Lake,Canoe Launch,Community Garden,Historic Features,Notes,Mapped Location,Lat,Lng
13,Paradise Ridge Park,37080,98.41,2013,Yes,No,Yes,Yes,Yes,Yes,1,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"community meeting space, gym, playground, walking trail, 1 reservable picnic shelter, outdoor basketball court","3000 Morgan Rd Joelton, TN 37080 ",36.335583,-86.85995
14,Cedar Hill,37115,321.46,1965,No,No,Yes,Yes,Yes,Yes,7,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,7 Reservable Picnic Shelters,"860 West Old Hickory Blvd Nashville, TN ",36.268774,-86.753417
15,E. N. Peeler Park,37115,649.71,1965,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Trailhead,"2271 Neelys Bend Rd Madison, TN 37115 ",36.196145,-86.663721
16,Madison Park,37115,30.74,1988,Yes,No,Yes,Yes,Yes,Yes,2,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"2 Reservable Picnic Shelters, Volleyball","510 Cumberland Ave Madison, TN 37115 ",36.267037,-86.702334
17,12th Street Ball Field,37138,2.39,2013,No,No,No,No,No,No,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Ball field,"1201 Elliston St Old Hickory, TN 37138 ",36.258841,-86.649694
24,Whites Creek Park,37189,19.7,1978,No,No,No,No,No,No,0,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Cricket Field,"7277 Old Hickory Blvd Whites Creek, TN ",36.276274,-86.818464
25,Commerce Center Park,37201,0.31,2000,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"120 3rd Ave N Nashville, TN ",36.162082,-86.776312
26,Riverfront Park,37201,12.54,2015,No,No,No,Yes,No,No,0,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"Outdoor fitness equipment, dog park, Ascend Amphitheater","310 1st Ave S Nashville, TN ",36.159082,-86.772376
27,Centennial Park,37203,125.14,1903,Yes,No,Yes,No,Yes,Yes,2,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,"Parthenon, Sportsplex, Arts Activity Center, Art Center, Band Shell / Amphetheater, Indoor Pool, Lake Watauga, Volleyball","2500 West End Ave Nashville, TN ",36.146893,-86.808533
28,Dallas H. Neil Park,37203,1.32,1981,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"1910 8th Ave South Nashville, TN ",36.1346,-86.779067
29,E. S. Rose Park,37203,25.08,1960,Yes,No,Yes,Yes,Yes,Yes,2,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Belmont University baseball, Outdoor Pool, Track, Easley Community Center, 2 Reservable Picnic Shelters","1000 Edgehill Ave Nashville, TN ",36.141827,-86.783089
30,Fort Negley,37203,57.39,1928,No,No,Yes,No,Yes,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,"Ruins of historic Civil War fort rebuilt by the WPA in 1930s, Ruins, (Portion of Property Leased to Cumberland Museum and Nashville Sounds Baseball)","1100 Fort Negley Blvd Nashville, TN ",36.142555,-86.775798
31,Owen Bradley Park,37203,0.59,1975,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Music Row Roundabout,"1 Music Square E at Division St Nashville, TN ",36.151544,-86.791652
32,Reservoir Park,37203,15.9,1914,No,No,Yes,No,No,Yes,4,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"824 Argyle Ave Nashville, TN ",36.136372,-86.778882
33,Tony Rose Park,37203,2.31,1975,No,No,Yes,Yes,No,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"8 Music Circle East Nashville, TN ",36.150772,-86.789662
34,Walk of Fame Park,37203,2.67,2005,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Across from Country Music Hall of Fame,"121 4th Ave S Nashville, TN ",36.160067,-86.776551
35,Watkins Park,37203,8.12,1901,Yes,No,Yes,Yes,Yes,Yes,1,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Community Center, Spraypark","616 17th Ave North Nashville, TN ",36.16284,-86.800901
36,William Edmondson Park,37203,0.86,1979,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No, ,"1700 Charlotte Ave Nashville, TN ",36.158653,-86.798519
37,Browns Creek Park,37204,0.35,2012,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Walking trail,"817 PARK TER Nashville, TN ",36.113979,-86.776404
39,Sevier Park,37204,20.41,1945,Yes,No,Yes,Yes,Yes,Yes,2,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,"Historic Sunnyside Mansion, 2 Reserveable Picnic Shelter","3021 Lealand Lane Nashville, TN ",36.119187,-86.78732
40,Elmington Park,37205,13.07,1927,No,No,Yes,Yes,No,No,0,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No, ,"3531 West End Ave Nashville, TN ",36.134878,-86.824511
41,Parmer Park,37205,8.39,1988,No,No,Yes,Yes,No,Yes,1,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,"Historic School Archway, informal ball field","217 Leake Ave Nashville, TN 37205 ",36.1030299,-86.8614077
42,Bass Park,37206,0.18,1921,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"1604 Holly St Nashville, TN ",36.175438,-86.741596
43,Cleveland Park,37206,18.45,1963,Yes,No,Yes,Yes,Yes,Yes,1,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"1 Reservable Picnic Shelter, Outdoor Pool","925 N 6th St Nashville, TN ",36.186804,-86.761687
44,East Park,37206,10.65,1916,Yes,No,Yes,Yes,Yes,No,0,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Indoor Pool, Fitness Center","700 Woodland St Nashville, TN ",36.173412,-86.760625
45,Eastland Park,37206,2.44,1953,No,No,Yes,Yes,No,Yes,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ADA Approved Playgound,"1501 Douglas Ave Nashville, TN ",36.192156,-86.73973
46,Fred Douglas Park,37206,31.94,1963,No,No,No,No,Yes,No,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"210 N 7th St Nashville, TN ",36.177053,-86.762373
47,Kirkpatrick Park,37206,7.96,1963,Yes,No,Yes,Yes,Yes,No,0,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Spray Park,"1000 Sevier St Nashville, TN ",36.167927,-86.752028
48,Shelby Bottoms Park,37206,950.18,1997,No,Yes,Yes,No,Yes,No,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,"Nature Center, childrens nature play area, greenway, Audubon important bird area","1900 Davidson Street Nashville, TN 37206 ",36.164899,-86.734435
49,Shelby Park,37206,343.31,1912,Yes,No,Yes,Yes,Yes,Yes,9,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,"7 Reservable Picnic Shelters, Lake Sevier, events field, amphetheater, art","Shelby Ave at South 20th St Nashville, TN 37206 ",36.169846,-86.735927
50,Shelby Walk Park,37206,0.56,1996,No,No,No,No,No,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"1400 Shelby Ave Nashville, TN ",36.170769,-86.746305
51,Lock One Park,37207,3.42,1969,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"1530 Lock Rd Nashville, TN ",36.199534,-86.78709
52,McFerrin Park,37207,11.13,1920,Yes,No,Yes,Yes,No,No,0,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"310 Grace Street Nashville, TN ",36.182601,-86.767594
53,Oakwood Park,37207,26.28,1983,No,No,Yes,No,No,No,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"2572 Bethwood Drive Nashville, TN ",36.21464,-86.750049
54,Parkwood Park,37207,10.46,1973,Yes,No,Yes,Yes,No,No,0,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Open Field,"3220 Vailview Dr Nashville, TN ",36.235934,-86.772111
55,Tom Joy Park,37207,6.81,1991,No,No,Yes,Yes,No,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"1901 Lischey Ave Nashville, TN ",36.203996,-86.761407
56,Willow Creek Park,37207,12.13,2003,No,No,Yes,Yes,No,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"1821 Westchester Dr Nashville, TN ",36.253394,-86.773497
57,Buena Vista Park,37208,46.48,1934,Yes,No,No,No,Yes,No,0,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Outdoor Pool, Looby Community Center","2301 Metro Center Blvd Nashville, TN ",36.193625,-86.808126
58,Clinton B. Fisk Park,37208,7.36,1983,No,No,Yes,Yes,Yes,No,0,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No, ,"2410 Burch St Nashville, TN ",36.173937,-86.816281
59,Elizabeth Park,37208,1.6,1909,Yes,No,No,No,Yes,No,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"1701 Arthur Ave Nashville, TN ",36.178413,-86.802375
60,Hadley Park,37208,30.7,1912,Yes,No,Yes,Yes,Yes,Yes,2,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,"Indoor tennis structure - 19 indoor courts, band shell / amphetheater, 2 reservable picnic shelter, indoor pool, walking trail","1037 28th Ave North Nashville, TN ",36.166565,-86.82044
61,Hope Gardens Park,37208,0.4,2000,No,No,Yes,Yes,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"1009 Phillips St Nashville, TN ",36.171082,-86.794845
62,Monroe Street Playground,37208,0.68,1984,No,No,Yes,Yes,No,No,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"1043 Monroe Street Nashville, TN ",36.173664,-86.798856
63,Morgan Park,37208,6.63,1910,Yes,No,Yes,Yes,Yes,No,0,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No, ,"411 Hume Street Nashville, TN ",36.180857,-86.790881
64,Charlotte Park,37209,25.24,1964,No,No,Yes,Yes,Yes,Yes,1,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,1 Reservable Picnic Shelter,"6031 Deal Ave Nashville, TN ",36.155785,-86.87042
65,England Park,37209,11.25,2014,No,No,Yes,Yes,No,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"ADA Approved Playground, picnic shlter and walking track","811 Delray Dr Nashville, TN ",36.156731,-86.854765
66,H. G. Hill Park,37209,8.53,2012,No,No,Yes,Yes,Yes,Yes,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Historic James Robertson House,"6710 Charlotte Pike Nashville, TN ",36.135126,-86.887084
67,McCabe Park,37209,208.98,1938,Yes,No,Yes,Yes,Yes,No,0,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Greenway Trailhead,"4601 Murphy Rd Nashville, TN ",36.141022,-86.840579
68,McKissack Park,37209,1.5,1969,No,No,Yes,Yes,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"28th Ave N at Torbett St Nashville, TN 37209 ",36.1574785,-86.8186421
69,R. H. Boyd - Preston Taylor Park,37209,11.28,1947,No,No,Yes,Yes,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No, ,"3900 Clifton Ave Nashville, TN ",36.156997,-86.832726
70,Richland Park,37209,9.98,1907,No,No,Yes,Yes,No,Yes,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Volleyball Court, Multi-use Field, 1 reservable picnic shelter","4601 Charlotte Pike Nashville, TN ",36.152095,-86.844649
71,West Park,37209,33.45,1952,Yes,No,Yes,No,Yes,No,0,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ADA Approved Tee-Ball,"6105 Morrow Road Nashville, TN ",36.163446,-86.863055
72,J. C. Napier Park,37210,2.22,1913,Yes,No,Yes,Yes,No,No,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Indoor Pool,"67 Fairfield Ave Nashville, TN ",36.150407,-86.756957
73,Louise and Rebecca Dudley Park,37210,6.44,1913,No,No,Yes,Yes,No,Yes,1,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Informal Ball Felds, 1 reservable picnic shelter","305 Chestnut St Nashville, TN ",36.145231,-86.765929
74,Mildred Shute Minipark,37210,0.4,1983,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"73 Maury Stx Nashville, TN ",36.151629,-86.759323
75,Ezell Road Park,37211,79.94,1978,No,No,No,No,Yes,No,0,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No, ,"5135 Harding Pl Nashville, TN ",36.092956,-86.680355
76,Grassmere / Nashville Zoo,37211,196.59,0,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"3777 Nolensville Pike Nashville, TN ",36.091155,-86.73491
77,Paragon Mills Park,37211,35.68,1973,No,No,Yes,No,Yes,No,0,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"465 Benita Dr Nashville, TN ",36.093339,-86.71544
78,Providence Park,37211,4.19,2003,No,No,Yes,Yes,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"4170 Providence Park Ln Nashville, TN ",36.090942,-86.706213
79,Turner School Park,37211,0.74,2006,No,No,Yes,Yes,No,Yes,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"507 Tanksley Ave Nashville, TN ",36.108462,-86.745368
80,Wentworth-Caldwell Park,37211,13.53,2007,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Open Field,"4927 Edmondson Pikex Nashville, TN ",36.076334,-86.727407
82,William Coleman Park,37211,8.77,1939,Yes,No,Yes,Yes,Yes,No,1,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Indoor Pool,"384 Thompson Ln Nashville, TN ",36.110867,-86.74434
83,William Whitfield Park,37211,13.67,1978,No,No,Yes,Yes,No,No,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"5150 Edmondson Pike Nashville, TN ",36.062137,-86.740079
84,Fannie Mae Dees Park,37212,7.65,1978,No,No,Yes,Yes,Yes,Yes,5,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Dragon Sculpture, 1 Reservable Picnic Shelter, Lilly's Garden Playground","2400 Blakemore Ave Nashville, TN ",36.138131,-86.806112
85,Flora Wilson Community Park,37212,0.35,2012,No,No,Yes,Yes,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No, ,"Grand Ave at 14th Ave Nashville, TN 37212 ",36.1461984,-86.789001
86,St. Bernard Park,37212,1.71,1996,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"2112 Bernard Ave Nashville, TN 37212 ",36.131428,-86.802791
87,Cumberland Park,37213,4.76,2012,No,No,Yes,No,Yes,No,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Spray park, Amphitheater","592 South 1st Street Nashville, TN ",36.163415,-86.768974
88,Heartland Park,37214,74.38,2002,No,No,No,No,No,No,0,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Soccer Fields Subleased to Community Organization,"3101 Heartland Dr Nashville, TN ",36.187364,-86.668212
89,Lock Two Park,37214,5.73,1956,No,No,Yes,Yes,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No, ,"2650 Lock 2 Rd Nashville, TN 37214 ",36.239203,-86.700735
90,Two Rivers Park,37214,374.3,1966,No,No,Yes,No,Yes,Yes,5,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,"Historic Two Rivers Mansion, Wave Country, Greenhouse, Disc Golf, Leathers' Children's Playground, 5 Reserveable Picnic Shelters, Skate Park","3150 McGavock Pike Nashville, TN ",36.184888,-86.676603
91,Green Hills Park,37215,13.03,1973,No,No,Yes,Yes,No,Yes,1,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No, ,"1200 Lone Oak Rd Nashville, TN ",36.094665,-86.801264
92,Sally Beaman,37215,1.53,1999,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Next to Green Hills Library,"3701 Benham Avex Nashville, TN ",36.109283,-86.808739
93,Woodmont Park,37215,3.24,1988,No,No,Yes,Yes,No,No,0,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No, ,"912 Estes Rd Nashville, TN ",36.120132,-86.835851
94,Isaac Litton School Park,37216,5.7,1995,No,No,Yes,Yes,No,Yes,1,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Volleyball,"4500 Gallatin Pike Nashville, TN ",36.228269,-86.725196
95,South Inglewood Park,37216,19.14,1972,Yes,No,Yes,Yes,Yes,Yes,1,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"open park with hills, rain garden","1624 Rebecca Ave Nashville, TN 37206 ",36.196642,-86.726943
96,Hamilton Creek Park,37217,381.36,1980,No,No,Yes,Yes,Yes,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,"Sailboat Marina, Mountain Bike Trail, 2 Boat Launch Ramps","2901 Bell Rd Nashville, TN ",36.096695,-86.624929
97,Metro Soccer Complex,37217,64.17,2006,No,No,No,No,Yes,No,0,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"1266 Donelson Pike Nashville, TN ",36.100019,-86.676376
98,Seven Oaks Park,37217,76.01,1963,No,No,Yes,Yes,Yes,Yes,2,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Disc Golf, 2 Reserveable Picnic Shelters","3474 McGavock Pike Nashville, TN ",36.110513,-86.70193
99,Una Recreation Park,37217,24.98,2007,No,No,Yes,Yes,Yes,Yes,1,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"134 Una Recreation Rd Nashville, TN ",36.097545,-86.640856
100,Bells Bend Park,37218,809.59,2007,No,Yes,No,No,Yes,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,"Nature Center, call nature center to schedule camping","4187 Old Hickory Blvd Nashville, TN ",36.150289,-86.91876
101,Bordeaux Garden Park,37218,12.26,1964,No,No,Yes,Yes,No,No,0,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, ,"Snell Blvd at Panorama Dr Nashville, TN ",36.1797136,-86.8395478
102,Joseph Brown Mullins Park,37218,34.85,2012,No,No,No,No,No,Yes,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No, ,"4297 Drake Wood Lane Nashville, TN ",36.209117,-86.850825
103,Richard W. Hartman Park,37218,54.2,1964,Yes,No,Yes,Yes,Yes,Yes,1,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,"Greenway Trailhead, Informal Canoe Launch","2801 Tucker Rd Nashville, TN ",36.210169,-86.823735
104,Church Street Park,37219,0.28,2001,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fountain,"600 Church St Nashville, TN ",36.162487,-86.781724
105,Bellevue Park,37221,17.14,1982,Yes,No,Yes,Yes,Yes,Yes,3,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"Caboose Park, Amphitheater, Leathers' Children's Playground, Dance Area","656 Colice Jeanne Rd Nashville, TN ",36.072144,-86.934617
106,Edwin Warner Park,37221,1113.12,1937,No,Yes,Yes,No,Yes,Yes,13,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,"Nature Center, Model Airplane Field, Warner Parks' Headquarters, Interpretive Deck, 11 Reservable Picnic Shelters, Dog Park, Nature Play Area","50 Vaughn Rd Nashville, TN ",36.050442,-86.902251
107,Harpeth Knoll Park,37221,9.88,1972,No,No,Yes,Yes,No,No,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Fabric Shade Structure, Informal ball field","708 Goodpasture Terrace Nashville, TN ",36.058643,-86.937415
