,School Year,School Level,School ID,School Name,State School ID,Zip Code,Rank,Great schools rating,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf
43,20-21,Elementary School,350,Goodlettsville Elementary,270,37072,5.0,Average,323,< 10,7%,16%,18%,20%,18%,20%,,,,,,,,,10%,5%,42%,24%,10%,27%,54%,46%,42%,15%,14%,06/01/2021
44,20-21,Middle School,355,Goodlettsville Middle,275,37072,2.0,Below Average,597,,,,,,,,26%,24%,23%,27%,,,,,10%,5%,45%,33%,10%,19%,50%,50%,46%,15%,25%,06/01/2021
45,20-21,Elementary School,360,Gower Elementary,280,37209,6.0,Average,496,< 10,7%,17%,22%,17%,15%,20%,,,,,,,,,10%,9%,26%,16%,10%,48%,54%,46%,33%,18%,15%,06/01/2021
46,20-21,Elementary School,370,Granbery Elementary,290,37027,8.0,Above Average,659,,,20%,21%,23%,19%,17%,,,,,,,,,10%,14%,13%,17%,10%,56%,50%,50%,19%,9%,22%,06/01/2021
47,20-21,Middle School,434,H.G. Hill Middle School,295,37205,4.0,Below Average,641,,,,,,,,25%,24%,27%,24%,,,,,10%,7%,27%,29%,10%,38%,51%,49%,36%,15%,32%,06/01/2021
48,20-21,Elementary School,395,Harpeth Valley Elementary,300,37221,7.0,Above Average,617,< 10,< 5%,17%,22%,19%,21%,19%,,,,,,,,,10%,8%,13%,6%,10%,71%,50%,50%,12%,10%,6%,06/01/2021
49,20-21,Special Education,397,Harris-Hillman Special Education,302,37212,,Unranked,582,26%,18%,< 5%,< 5%,5%,5%,5%,< 5%,< 5%,< 5%,< 5%,< 5%,< 5%,< 10,15%,10%,5%,28%,13%,10%,55%,64%,36%,21%,85%,7%,06/01/2021
50,20-21,Elementary School,230,Hattie Cotton Elementary,140,37206,5.0,Average,235,< 10,6%,19%,18%,18%,20%,18%,,,,,,,,,10%,10%,72%,17%,10%,10%,53%,47%,61%,9%,15%,06/01/2021
51,20-21,Middle School,400,Haynes Middle,305,37207,4.0,Below Average,498,,,,,,,,21%,25%,26%,28%,,,,,10%,10%,82%,6%,10%,11%,56%,44%,79%,21%,5%,06/01/2021
52,20-21,Elementary School,405,Haywood Elementary,310,37211,4.0,Below Average,534,< 10,< 5%,19%,19%,19%,20%,18%,,,,,,,,,10%,13%,11%,66%,10%,10%,50%,50%,47%,10%,71%,06/01/2021
